ParticipantID,TrialNumber,Condition,RealismLikert_1to7,VisualHapticCongruence_YesNo,Notes
P01,1,MediumVisual_LightHaptic,5,YES,
P01,2,HeavyVisual_LightHaptic,4,NO,
P01,3,HeavyVisual_MediumHaptic,4,NO,
P01,4,MediumVisual_MediumHaptic,7,YES,
P01,5,HeavyVisual_HeavyHaptic,6,YES,
P01,6,LightVisual_HeavyHaptic,2,NO,
P01,7,MediumVisual_HeavyHaptic,4,NO,
P01,8,LightVisual_LightHaptic,7,YES,
P01,9,LightVisual_MediumHaptic,4,NO,
P01,10,HeavyVisual_MediumHaptic,5,NO,
P01,11,LightVisual_HeavyHaptic,4,NO,
P01,12,MediumVisual_HeavyHaptic,4,NO,
P01,13,HeavyVisual_LightHaptic,1,NO,
P01,14,LightVisual_LightHaptic,7,YES,
P01,15,MediumVisual_LightHaptic,4,NO,
P01,16,MediumVisual_MediumHaptic,5,YES,
P01,17,LightVisual_MediumHaptic,4,NO,
P01,18,HeavyVisual_HeavyHaptic,6,YES,
P01,19,LightVisual_HeavyHaptic,2,NO,
P01,20,MediumVisual_HeavyHaptic,6,NO,
P01,21,HeavyVisual_MediumHaptic,3,YES,
P01,22,HeavyVisual_HeavyHaptic,7,YES,
P01,23,HeavyVisual_LightHaptic,2,NO,
P01,24,LightVisual_MediumHaptic,3,NO,
P01,25,MediumVisual_MediumHaptic,5,YES,
P01,26,LightVisual_LightHaptic,6,YES,
P01,27,MediumVisual_LightHaptic,5,YES,
P01,28,HeavyVisual_HeavyHaptic,5,YES,
P01,29,HeavyVisual_MediumHaptic,4,NO,
P01,30,MediumVisual_HeavyHaptic,3,NO,
P01,31,LightVisual_HeavyHaptic,1,NO,
P01,32,MediumVisual_LightHaptic,3,YES,
P01,33,LightVisual_MediumHaptic,2,NO,
P01,34,HeavyVisual_LightHaptic,2,NO,
P01,35,LightVisual_LightHaptic,6,YES,
P01,36,MediumVisual_MediumHaptic,7,YES,
P02,1,HeavyVisual_LightHaptic,3,NO,
P02,2,LightVisual_MediumHaptic,3,YES,
P02,3,MediumVisual_LightHaptic,6,YES,
P02,4,LightVisual_HeavyHaptic,1,NO,
P02,5,MediumVisual_HeavyHaptic,6,NO,
P02,6,LightVisual_LightHaptic,7,YES,
P02,7,HeavyVisual_HeavyHaptic,6,YES,
P02,8,MediumVisual_MediumHaptic,6,YES,
P02,9,HeavyVisual_MediumHaptic,4,NO,
P02,10,HeavyVisual_MediumHaptic,5,NO,
P02,11,MediumVisual_HeavyHaptic,4,NO,
P02,12,LightVisual_HeavyHaptic,3,NO,
P02,13,LightVisual_LightHaptic,6,YES,
P02,14,HeavyVisual_LightHaptic,3,NO,
P02,15,HeavyVisual_HeavyHaptic,6,YES,
P02,16,MediumVisual_LightHaptic,5,NO,
P02,17,MediumVisual_MediumHaptic,7,YES,
P02,18,LightVisual_MediumHaptic,5,NO,
P02,19,HeavyVisual_LightHaptic,2,NO,
P02,20,MediumVisual_LightHaptic,4,NO,
P02,21,MediumVisual_HeavyHaptic,4,NO,
P02,22,LightVisual_MediumHaptic,4,NO,
P02,23,HeavyVisual_MediumHaptic,3,NO,
P02,24,LightVisual_LightHaptic,6,YES,
P02,25,MediumVisual_MediumHaptic,7,YES,
P02,26,LightVisual_HeavyHaptic,2,NO,
P02,27,HeavyVisual_HeavyHaptic,6,NO,
P02,28,MediumVisual_HeavyHaptic,3,YES,
P02,29,LightVisual_MediumHaptic,3,NO,
P02,30,HeavyVisual_LightHaptic,2,NO,
P02,31,HeavyVisual_MediumHaptic,4,NO,
P02,32,MediumVisual_LightHaptic,5,NO,
P02,33,HeavyVisual_HeavyHaptic,6,YES,
P02,34,MediumVisual_MediumHaptic,7,YES,
P02,35,LightVisual_LightHaptic,6,NO,
P02,36,LightVisual_HeavyHaptic,2,NO,
P03,1,LightVisual_HeavyHaptic,3,NO,
P03,2,HeavyVisual_LightHaptic,2,NO,
P03,3,LightVisual_LightHaptic,5,YES,
P03,4,MediumVisual_MediumHaptic,7,YES,
P03,5,MediumVisual_HeavyHaptic,5,NO,
P03,6,HeavyVisual_MediumHaptic,4,NO,
P03,7,HeavyVisual_HeavyHaptic,6,YES,
P03,8,MediumVisual_LightHaptic,5,NO,
P03,9,LightVisual_MediumHaptic,4,NO,
P03,10,MediumVisual_HeavyHaptic,5,NO,
P03,11,MediumVisual_MediumHaptic,7,YES,
P03,12,LightVisual_MediumHaptic,3,NO,
P03,13,HeavyVisual_MediumHaptic,4,NO,
P03,14,HeavyVisual_LightHaptic,2,NO,
P03,15,HeavyVisual_HeavyHaptic,7,YES,
P03,16,MediumVisual_LightHaptic,5,NO,
P03,17,LightVisual_HeavyHaptic,2,NO,
P03,18,LightVisual_LightHaptic,7,YES,
P03,19,MediumVisual_LightHaptic,6,NO,
P03,20,MediumVisual_MediumHaptic,6,YES,
P03,21,LightVisual_LightHaptic,5,YES,
P03,22,MediumVisual_HeavyHaptic,3,NO,
P03,23,LightVisual_HeavyHaptic,2,NO,
P03,24,HeavyVisual_HeavyHaptic,7,YES,
P03,25,LightVisual_MediumHaptic,4,NO,
P03,26,HeavyVisual_MediumHaptic,5,NO,
P03,27,HeavyVisual_LightHaptic,2,NO,
P03,28,HeavyVisual_HeavyHaptic,5,YES,
P03,29,LightVisual_HeavyHaptic,3,NO,
P03,30,HeavyVisual_LightHaptic,2,YES,
P03,31,LightVisual_MediumHaptic,4,NO,
P03,32,MediumVisual_LightHaptic,4,NO,
P03,33,MediumVisual_MediumHaptic,5,YES,
P03,34,HeavyVisual_MediumHaptic,4,YES,
P03,35,LightVisual_LightHaptic,7,YES,
P03,36,MediumVisual_HeavyHaptic,3,YES,
P04,1,HeavyVisual_LightHaptic,2,NO,
P04,2,MediumVisual_MediumHaptic,7,YES,
P04,3,HeavyVisual_HeavyHaptic,7,YES,
P04,4,HeavyVisual_MediumHaptic,4,NO,
P04,5,LightVisual_LightHaptic,7,YES,
P04,6,LightVisual_MediumHaptic,6,NO,
P04,7,MediumVisual_LightHaptic,6,NO,
P04,8,LightVisual_HeavyHaptic,3,NO,
P04,9,MediumVisual_HeavyHaptic,4,NO,
P04,10,MediumVisual_MediumHaptic,5,YES,
P04,11,HeavyVisual_LightHaptic,3,NO,
P04,12,HeavyVisual_MediumHaptic,4,NO,
P04,13,LightVisual_HeavyHaptic,3,NO,
P04,14,LightVisual_LightHaptic,6,YES,
P04,15,LightVisual_MediumHaptic,2,YES,
P04,16,HeavyVisual_HeavyHaptic,7,YES,
P04,17,MediumVisual_LightHaptic,4,NO,
P04,18,MediumVisual_HeavyHaptic,4,NO,
P04,19,MediumVisual_MediumHaptic,6,YES,
P04,20,HeavyVisual_HeavyHaptic,5,YES,
P04,21,LightVisual_LightHaptic,6,YES,
P04,22,HeavyVisual_MediumHaptic,5,NO,
P04,23,MediumVisual_HeavyHaptic,3,YES,
P04,24,LightVisual_MediumHaptic,3,NO,
P04,25,HeavyVisual_LightHaptic,1,NO,
P04,26,MediumVisual_LightHaptic,4,NO,
P04,27,LightVisual_HeavyHaptic,2,NO,
P04,28,MediumVisual_MediumHaptic,6,YES,
P04,29,MediumVisual_LightHaptic,4,NO,
P04,30,LightVisual_LightHaptic,6,YES,
P04,31,LightVisual_HeavyHaptic,2,NO,
P04,32,LightVisual_MediumHaptic,3,NO,
P04,33,HeavyVisual_HeavyHaptic,5,YES,
P04,34,HeavyVisual_MediumHaptic,3,NO,
